0,4.0,0.0,5.0,0.0,5.0,0.005000114440917969,5.0,0.09200000762939453
1000,70.0,0.006000041961669922,74.0,0.003000020980834961,74.0,0.3359999656677246,74.0,5.005000114440918
2000,82.0,0.0009999275207519531,79.0,0.0009999275207519531,79.0,0.32899999618530273,79.0,8.503000020980835
3000,82.0,0.0,94.0,0.003000020980834961,94.0,0.3580000400543213,94.0,12.062000036239624
4000,50.0,0.002000093460083008,94.0,0.0019998550415039062,94.0,0.4609999656677246,94.0,17.188999891281128
5000,92.0,0.0010001659393310547,94.0,0.003999948501586914,94.0,0.6340000629425049,94.0,20.401000022888184
6000,50.0,0.005000114440917969,94.0,0.004999876022338867,94.0,0.7899999618530273,94.0,22.55999994277954
7000,94.0,0.0019998550415039062,94.0,0.0010001659393310547,94.0,0.8280000686645508,94.0,26.89300012588501
8000,87.0,0.002000093460083008,94.0,0.0019998550415039062,94.0,0.9609999656677246,94.0,24.056999921798706
9000,68.0,0.0010001659393310547,94.0,0.0019998550415039062,94.0,0.5449998378753662,94.0,16.52300000190735
10000,50.0,0.002000093460083008,94.0,0.004999876022338867,94.0,0.6109998226165771,94.0,19.15499997138977
11000,85.0,0.0019998550415039062,94.0,0.002000093460083008,94.0,0.695000171661377,94.0,21.186000108718872
12000,91.0,0.002000093460083008,94.0,0.0019998550415039062,94.0,0.6979999542236328,94.0,21.533999919891357
13000,50.0,0.003000020980834961,94.0,0.002000093460083008,94.0,0.7710001468658447,94.0,25.062999963760376
14000,50.0,0.002000093460083008,94.0,0.0019998550415039062,94.0,0.8510000705718994,94.0,25.838000059127808
15000,76.0,0.003000020980834961,94.0,0.003000020980834961,94.0,0.8849999904632568,94.0,27.067000150680542
16000,50.0,0.003000020980834961,94.0,0.003999948501586914,94.0,0.9470000267028809,94.0,28.340999841690063
17000,77.0,0.003000020980834961,94.0,0.003000020980834961,94.0,1.0270001888275146,94.0,32.223000049591064
18000,85.0,0.004000186920166016,94.0,0.003000020980834961,94.0,1.065999984741211,94.0,34.187999963760376
19000,94.0,0.003000020980834961,94.0,0.003000020980834961,94.0,1.1740000247955322,94.0,33.44600009918213
20000,90.0,0.00599980354309082,94.0,0.005000114440917969,94.0,1.2390000820159912,94.0,38.276000022888184
21000,83.0,0.003000020980834961,94.0,0.0029997825622558594,94.0,1.2879998683929443,94.0,39.72599983215332
22000,92.0,0.00599980354309082,94.0,0.006000041961669922,94.0,1.3460001945495605,94.0,42.50800013542175
23000,50.0,0.003999948501586914,94.0,0.005000114440917969,94.0,1.3910000324249268,94.0,41.63700008392334
24000,90.0,0.003999948501586914,94.0,0.003999948501586914,94.0,1.434000015258789,94.0,45.28800010681152
25000,92.0,0.003999948501586914,94.0,0.005000114440917969,94.0,1.5069999694824219,94.0,45.19099998474121
26000,50.0,0.006000041961669922,94.0,0.006000041961669922,94.0,1.4930000305175781,94.0,47.610000133514404
27000,86.0,0.003999948501586914,94.0,0.006000041961669922,94.0,1.5799999237060547,94.0,48.85599994659424
28000,68.0,0.005000114440917969,94.0,0.004999876022338867,94.0,1.6469998359680176,94.0,53.6489999294281
29000,87.0,0.003999948501586914,94.0,0.004999876022338867,94.0,1.7029998302459717,94.0,54.819000005722046
30000,50.0,0.003999948501586914,94.0,0.006000041961669922,94.0,1.7769999504089355,94.0,56.378000020980835
31000,90.0,0.005000114440917969,94.0,0.00599980354309082,94.0,1.7999999523162842,94.0,55.787999868392944
32000,50.0,0.005000114440917969,94.0,0.006000041961669922,94.0,1.8840000629425049,94.0,56.948999881744385
33000,82.0,0.004999876022338867,94.0,0.006000041961669922,94.0,1.8919999599456787,94.0,60.76100015640259
34000,50.0,0.006000041961669922,94.0,0.006999969482421875,94.0,1.9479999542236328,94.0,64.35699987411499
35000,50.0,0.00599980354309082,94.0,0.0070002079010009766,94.0,2.015000104904175,94.0,66.42000007629395
36000,50.0,0.006000041961669922,94.0,0.006999969482421875,94.0,2.0339999198913574,94.0,68.16100001335144
37000,50.0,0.006000041961669922,94.0,0.006999969482421875,94.0,2.1459999084472656,94.0,70.36500000953674
38000,79.0,0.005000114440917969,94.0,0.006999969482421875,94.0,2.1429998874664307,94.0,72.47300004959106
39000,88.0,0.006999969482421875,94.0,0.006999969482421875,94.0,2.188999891281128,94.0,74.6819999217987
40000,76.0,0.006000041961669922,94.0,0.007999897003173828,94.0,2.2699999809265137,94.0,71.77699995040894
41000,50.0,0.006999969482421875,94.0,0.00800013542175293,94.0,2.3620002269744873,94.0,76.77800011634827
42000,79.0,0.006000041961669922,94.0,0.00800013542175293,94.0,2.3450000286102295,94.0,76.69000005722046
43000,87.0,0.006999969482421875,94.0,0.00800013542175293,94.0,2.449000120162964,94.0,77.31200003623962
44000,50.0,0.006999969482421875,94.0,0.009999990463256836,94.0,2.615000009536743,94.0,77.79900002479553
45000,81.0,0.0070002079010009766,94.0,0.011999845504760742,94.0,2.554999828338623,94.0,80.09299993515015
46000,70.0,0.01100015640258789,94.0,0.008999824523925781,94.0,2.694999933242798,94.0,86.89699983596802
47000,75.0,0.009000062942504883,94.0,0.009000062942504883,94.0,2.6579999923706055,94.0,88.90199995040894
48000,88.0,0.00800013542175293,94.0,0.009000062942504883,94.0,2.7869999408721924,94.0,85.34999990463257
49000,93.0,0.00800013542175293,94.0,0.008999824523925781,94.0,2.756999969482422,94.0,92.09800004959106
50000,94.0,0.009000062942504883,94.0,0.01399993896484375,94.0,2.865999937057495,94.0,94.06900000572205
51000,50.0,0.007999897003173828,94.0,0.009999990463256836,94.0,2.9089999198913574,94.0,96.58200001716614
